X	COIL_ATTRACTION	COIL_REPULSION
120.000000	6,7	
120.500000	6,7	
121.000000	6,7	
121.500000	6,7	
122.000000	6,7	
122.500000	6,7	
123.000000	6,7	
123.500000	6,7	
124.000000	6,7	
124.500000	6,7	
125.000000	6,7	
125.500000	6,7	
126.000000	6	
126.500000	6	7
127.000000	6	7
127.500000	6	7
128.000000	6	7
128.500000	6	7
129.000000	6	7
129.500000	6	7
130.000000		7
130.500000		6,7
131.000000		6,7
131.500000		6,7
132.000000		6,7
132.500000		6,7
133.000000		6,7
133.500000		6,7
134.000000		6,7
134.500000		6,7
135.000000		6,7
135.500000		6,7
136.000000		6,7
136.500000		6,7
137.000000		6,7
137.500000		6,7
138.000000		6,7
138.500000		6,7
139.000000		6,7
139.500000		6,7
140.000000		6,7
140.500000		6,7
141.000000	7	6
141.500000	7	6
142.000000	7	6
142.500000	7	6
143.000000	7	6
143.500000	7	6
144.000000	7	6
144.500000	7	6
145.000000	7	
145.500000	7	
146.000000	7	
146.500000	7	
147.000000	7	
147.500000	7	
148.000000	7	
148.500000	7	
149.000000	7	
149.500000	7	
150.000000	7	
150.500000	7	
151.000000	7	
151.500000	7	
152.000000	7	
152.500000	7	
153.000000	7	
153.500000	7	
154.000000	7	
154.500000	7	
155.000000	7	
155.500000	7	
156.000000		
156.500000		7
157.000000		7
157.500000		7
158.000000		7
158.500000		7
159.000000		7
159.500000		7
160.000000		7
160.500000		7
161.000000		7
161.500000		7
162.000000		7
162.500000		7
163.000000		7
163.500000		7
164.000000		7
164.500000		7
165.000000		7
165.500000		7
166.000000		7
166.500000		7
167.000000		7
167.500000		7
168.000000		7
168.500000		7
169.000000		7
169.500000		7
170.000000		7
170.500000		7
171.000000		
171.500000		
172.000000		
172.500000		
173.000000		
173.500000		
174.000000		
174.500000		
175.000000		
175.500000		
176.000000		
176.500000		
177.000000		
177.500000		
178.000000		
178.500000		
179.000000		
179.500000		
180.000000		
180.500000		
181.000000		
181.500000		
182.000000		
